x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
x_map ; 0, y_map : 0, var_x : 50, var_y : 50
